time,load_shortfall_3h
2018-01-01 00:00:00,9170.71111111111
2018-01-01 03:00:00,6023.182222222225
2018-01-01 06:00:00,5981.502222222222
2018-01-01 09:00:00,7376.1877777777745
2018-01-01 12:00:00,8993.254444444443
2018-01-01 15:00:00,9512.686111111114
2018-01-01 18:00:00,9510.736111111115
2018-01-01 21:00:00,9384.294999999996
2018-01-02 00:00:00,9313.484444444435
2018-01-02 03:00:00,6568.056666666664
2018-01-02 06:00:00,5980.88888888889
2018-01-02 09:00:00,8777.562222222221
2018-01-02 12:00:00,9531.044444444446
2018-01-02 15:00:00,9559.108333333335
2018-01-02 18:00:00,9523.611666666666
2018-01-02 21:00:00,9350.29111111111
2018-01-03 00:00:00,9087.994444444439
2018-01-03 03:00:00,6566.883333333334
2018-01-03 06:00:00,6634.778888888885
2018-01-03 09:00:00,7060.423333333335
2018-01-03 12:00:00,7446.562777777776
2018-01-03 15:00:00,8417.532222222218
2018-01-03 18:00:00,7317.293333333335
2018-01-03 21:00:00,7402.198888888888
2018-01-04 00:00:00,8803.483333333326
2018-01-04 03:00:00,6417.316666666661
2018-01-04 06:00:00,6370.084444444437
2018-01-04 09:00:00,7185.926666666667
2018-01-04 12:00:00,7568.355
2018-01-04 15:00:00,7436.29444444444
2018-01-04 18:00:00,8191.980555555553
2018-01-04 21:00:00,7918.611111111107
2018-01-05 00:00:00,8822.884444444438
2018-01-05 03:00:00,6298.185555555553
2018-01-05 06:00:00,5782.36333333333
2018-01-05 09:00:00,7026.795555555555
2018-01-05 12:00:00,6947.2333333333345
2018-01-05 15:00:00,6164.494444444445
2018-01-05 18:00:00,7647.396666666667
2018-01-05 21:00:00,7661.681666666666
2018-01-06 00:00:00,9478.018888888886
2018-01-06 03:00:00,7445.501111111112
2018-01-06 06:00:00,7922.844444444444
2018-01-06 09:00:00,8870.567777777776
2018-01-06 12:00:00,9863.54444444444
2018-01-06 15:00:00,9752.724444444439
2018-01-06 18:00:00,10118.267777777774
2018-01-06 21:00:00,10263.609999999999
2018-01-07 00:00:00,9616.892222222223
2018-01-07 03:00:00,8326.14666666667
2018-01-07 06:00:00,8030.159999999999
2018-01-07 09:00:00,9195.116666666663
2018-01-07 12:00:00,10313.283333333331
2018-01-07 15:00:00,10355.367777777774
2018-01-07 18:00:00,10505.525555555556
2018-01-07 21:00:00,10053.102222222224
2018-01-08 00:00:00,11115.141111111117
2018-01-08 03:00:00,8477.443333333336
2018-01-08 06:00:00,8074.919999999997
2018-01-08 09:00:00,9724.085555555559
2018-01-08 12:00:00,10825.343333333336
2018-01-08 15:00:00,11370.778888888895
2018-01-08 18:00:00,11286.573333333336
2018-01-08 21:00:00,11165.403333333335
2018-01-09 00:00:00,12958.22444444445
2018-01-09 03:00:00,8467.39222222222
2018-01-09 06:00:00,8681.65333333333
2018-01-09 09:00:00,11306.571111111107
2018-01-09 12:00:00,11892.42333333333
2018-01-09 15:00:00,12302.031111111108
2018-01-09 18:00:00,12099.700000000003
2018-01-09 21:00:00,12124.724444444442
2018-01-10 00:00:00,11862.957222222225
2018-01-10 03:00:00,9066.006666666666
2018-01-10 06:00:00,8813.409999999998
2018-01-10 09:00:00,10759.917777777775
2018-01-10 12:00:00,12049.386666666667
2018-01-10 15:00:00,11292.701111111113
2018-01-10 18:00:00,11633.540555555557
2018-01-10 21:00:00,11808.558333333332
2018-01-11 00:00:00,11325.528888888895
2018-01-11 03:00:00,9828.409999999998
2018-01-11 06:00:00,9115.658888888887
2018-01-11 09:00:00,10804.061111111108
2018-01-11 12:00:00,11479.937777777777
2018-01-11 15:00:00,12074.977222222225
2018-01-11 18:00:00,11978.590000000002
2018-01-11 21:00:00,12838.026666666667
2018-01-12 00:00:00,12030.830000000002
2018-01-12 03:00:00,9342.982222222223
2018-01-12 06:00:00,9538.852222222218
2018-01-12 09:00:00,11913.997777777782
2018-01-12 12:00:00,13295.452222222224
2018-01-12 15:00:00,13414.986666666666
2018-01-12 18:00:00,13397.272777777776
2018-01-12 21:00:00,13793.128888888887
2018-01-13 00:00:00,12857.31111111112
2018-01-13 03:00:00,8606.428888888893
2018-01-13 06:00:00,7644.356666666666
2018-01-13 09:00:00,9747.133333333339
2018-01-13 12:00:00,10664.455555555562
2018-01-13 15:00:00,10760.190000000002
2018-01-13 18:00:00,10383.635
2018-01-13 21:00:00,9618.258888888888
2018-01-14 00:00:00,11027.550000000005
2018-01-14 03:00:00,7737.388888888893
2018-01-14 06:00:00,7156.5999999999985
2018-01-14 09:00:00,7624.181111111109
2018-01-14 12:00:00,8459.929999999998
2018-01-14 15:00:00,8648.820000000002
2018-01-14 18:00:00,8957.147777777775
2018-01-14 21:00:00,8866.451111111113
2018-01-15 00:00:00,11689.018888888893
2018-01-15 03:00:00,7750.719999999997
2018-01-15 06:00:00,7644.2277777777745
2018-01-15 09:00:00,11188.455
2018-01-15 12:00:00,11904.213333333328
2018-01-15 15:00:00,11773.864444444445
2018-01-15 18:00:00,11632.992222222221
2018-01-15 21:00:00,11984.687222222221
2018-01-16 00:00:00,12053.009999999997
2018-01-16 03:00:00,7787.809999999998
2018-01-16 06:00:00,7490.727777777777
2018-01-16 09:00:00,11113.86
2018-01-16 12:00:00,11859.476666666667
2018-01-16 15:00:00,11915.194444444443
2018-01-16 18:00:00,11815.214444444444
2018-01-16 21:00:00,11754.798888888887
2018-01-17 00:00:00,12004.47111111111
2018-01-17 03:00:00,7351.377777777779
2018-01-17 06:00:00,7542.582222222223
2018-01-17 09:00:00,10382.155555555555
2018-01-17 12:00:00,11696.82222222222
2018-01-17 15:00:00,11816.074444444448
